[1] 0.9870745
[1] 0.9837098
[1] 0.9557217
[1] 0.9842344
[1] 0.9558675
[1] 0.967967
[1] 0.9613252
[1] 0.977899
[1] 0.9814
[1] 0.9693789
[1] 0.9805561
[1] 0.9820844
[1] 0.9727054
[1] 0.9191133
[1] 0.9836807
[1] 0.9773797
[1] 0.975925
[1] 0.976622
[1] 0.9508498
[1] 0.9775103
[1] 0.9811358
[1] 0.9629784
[1] 0.9686387
[1] 0.9532523
[1] 0.9321044
[1] 0.9070762
[1] 0.977256
[1] 0.9688773
[1] 0.9656541
[1] 0.969768
[1] 0.975484
[1] 0.9573004
[1] 0.9817116
[1] 0.9690842
[1] 0.9589258
[1] 0.981167
[1] 0.9726112
[1] 0.9802923
[1] 0.9696459
[1] 0.9885409
[1] 0.9517466
[1] 0.9627889
[1] 0.9744197
[1] 0.9374609
[1] 0.9624298
[1] 0.9577991
[1] 0.9783267
[1] 0.9804704
[1] 0.9647098
[1] 0.9690356
[1] 0.9825035
[1] 0.9748398
[1] 0.9650231
[1] 0.9712902
[1] 0.9771466
[1] 0.9723435
[1] 0.9743933
[1] 0.9532864
[1] 0.9653768
[1] 0.9700016
[1] 0.9729083
[1] 0.9663494
[1] 0.9856497
[1] 0.9736438
[1] 0.9532074
[1] 0.9704095
[1] 0.9723227
[1] 0.9619059
[1] 0.9687523
[1] 0.9575929
[1] 0.9728473
[1] 0.9717868
[1] 0.9600175
[1] 0.9680757
[1] 0.9786572
[1] 0.9732825
[1] 0.9789538
[1] 0.9675967
[1] 0.9717195
[1] 0.9273717
[1] 0.9550856
[1] 0.9808869
[1] 0.9767669
[1] 0.9803348
[1] 0.9657111
[1] 0.9510413
[1] 0.9793004
[1] 0.9799553
[1] 0.9652029
[1] 0.9676593
[1] 0.9678143
[1] 0.9236156
[1] 0.9779726
[1] 0.9677298
[1] 0.9833992
[1] 0.9770925
[1] 0.9704285
[1] 0.9782539
[1] 0.9252596
[1] 0.9630688
