[1] 0.8874319
[1] 0.8058865
[1] 0.7711407
[1] 0.857696
[1] 0.8777986
[1] 0.8515158
[1] 0.7961602
[1] 0.8929975
[1] 0.8851534
[1] 0.8552546
[1] 0.8746549
[1] 0.7797561
[1] 0.86131
[1] 0.8801977
[1] 0.8618363
[1] 0.8316054
[1] 0.7653089
[1] 0.8951337
[1] 0.8580539
[1] 0.8929642
[1] 0.8668085
[1] 0.8503838
[1] 0.891107
[1] 0.8577924
[1] 0.8190754
[1] 0.8883677
[1] 0.8991735
[1] 0.8399699
[1] 0.8495981
[1] 0.8221533
[1] 0.8453867
[1] 0.845092
[1] 0.7796204
[1] 0.8567051
[1] 0.8708614
[1] 0.8989259
[1] 0.8304061
[1] 0.8580507
[1] 0.9030679
[1] 0.8247717
[1] 0.8114284
[1] 0.8451813
[1] 0.860004
[1] 0.8398555
[1] 0.7734544
[1] 0.8979667
[1] 0.861683
[1] 0.8523571
[1] 0.8920436
[1] 0.8904
[1] 0.8656097
[1] 0.801756
[1] 0.8684061
[1] 0.8841949
[1] 0.8576546
[1] 0.8586911
[1] 0.8519111
[1] 0.8926575
[1] 0.8803767
[1] 0.8007725
[1] 0.8046786
[1] 0.8751922
[1] 0.7720598
[1] 0.8515203
[1] 0.8600915
[1] 0.8936264
[1] 0.8293701
[1] 0.8592083
[1] 0.8835413
[1] 0.8569455
[1] 0.8901368
[1] 0.8517228
[1] 0.8543057
[1] 0.8339027
[1] 0.8736431
[1] 0.8481253
[1] 0.8633091
[1] 0.857974
[1] 0.7988307
[1] 0.8847617
[1] 0.7798418
[1] 0.8882089
[1] 0.8706125
[1] 0.8371287
[1] 0.8591698
[1] 0.8562552
[1] 0.8705336
[1] 0.8254112
[1] 0.8825194
[1] 0.8644277
[1] 0.8955754
[1] 0.8568254
[1] 0.896577
[1] 0.859622
[1] 0.8657146
[1] 0.8483581
[1] 0.7703063
[1] 0.8617659
[1] 0.8481267
[1] 0.8537599
