[1] 0.9657286
[1] 0.9357962
[1] 0.9371251
[1] 0.9471651
[1] 0.9708185
[1] 0.939988
[1] 0.9483825
[1] 0.9569756
[1] 0.9354964
[1] 0.9623409
[1] 0.9740479
[1] 0.9424561
[1] 0.9109032
[1] 0.9593458
[1] 0.9147284
[1] 0.9540905
[1] 0.8566591
[1] 0.9741039
[1] 0.9204195
[1] 0.8982068
[1] 0.9470291
[1] 0.9438081
[1] 0.9374389
[1] 0.9474984
[1] 0.949605
[1] 0.9438403
[1] 0.9628419
[1] 0.9484072
[1] 0.9512574
[1] 0.9566433
[1] 0.9376591
[1] 0.9314981
[1] 0.9388839
[1] 0.9747958
[1] 0.9466503
[1] 0.9243365
[1] 0.9166763
[1] 0.93565
[1] 0.9419035
[1] 0.9520555
[1] 0.9104499
[1] 0.9468345
[1] 0.9472424
[1] 0.9321461
[1] 0.9550528
[1] 0.8750948
[1] 0.9574383
[1] 0.9338427
[1] 0.9518091
[1] 0.8485414
[1] 0.9459367
[1] 0.9429922
[1] 0.9605191
[1] 0.9703527
[1] 0.9384807
[1] 0.953762
[1] 0.9283107
[1] 0.9569475
[1] 0.9576485
[1] 0.871861
[1] 0.9627052
[1] 0.9425371
[1] 0.9747618
[1] 0.9550821
[1] 0.943452
[1] 0.9429288
[1] 0.930324
[1] 0.9557722
[1] 0.9535308
[1] 0.8260056
[1] 0.8794649
[1] 0.9591657
[1] 0.909765
[1] 0.9665023
[1] 0.933624
[1] 0.9511393
[1] 0.9526295
[1] 0.834301
[1] 0.8022681
[1] 0.9660432
[1] 0.9491327
[1] 0.9417126
[1] 0.9419681
[1] 0.9620273
[1] 0.948581
[1] 0.9393293
[1] 0.9354312
[1] 0.9433597
[1] 0.9505337
[1] 0.9511369
[1] 0.9236095
[1] 0.9724295
[1] 0.9087809
[1] 0.9535852
[1] 0.9574331
[1] 0.9645266
[1] 0.9660201
[1] 0.9070402
[1] 0.9637109
[1] 0.9583987
