x,y,species cloglog values
229.0,229.0,0.7586051
230.0,230.0,0.84085804
231.0,231.0,0.4717185
232.0,232.0,0.18849614
233.0,233.0,0.7594076
234.0,234.0,0.45601252
235.0,235.0,0.53965944
236.0,236.0,0.24076538
237.0,237.0,0.7996116
238.0,238.0,0.124429464
239.0,239.0,0.26859993
240.0,240.0,0.15216821
241.0,241.0,0.43866488
242.0,242.0,0.07719996
243.0,243.0,0.33523744
244.0,244.0,0.072745696
245.0,245.0,0.27667725
246.0,246.0,0.52388316
247.0,247.0,0.77661526
248.0,248.0,0.4791197
249.0,249.0,0.41741815
250.0,250.0,0.30381975
251.0,251.0,0.20504381
252.0,252.0,0.29819268
253.0,253.0,0.4318034
254.0,254.0,0.026265377
255.0,255.0,0.090410315
256.0,256.0,0.3293808
257.0,257.0,0.5285947
258.0,258.0,0.049859982
259.0,259.0,0.27577496
260.0,260.0,0.8785935
261.0,261.0,0.5850781
262.0,262.0,0.15607017
263.0,263.0,0.46876702
264.0,264.0,0.017853636
265.0,265.0,0.24457005
266.0,266.0,0.060554333
267.0,267.0,0.5162674
268.0,268.0,0.25024635
269.0,269.0,0.3953524
270.0,270.0,0.71067744
271.0,271.0,0.9071196
272.0,272.0,0.087445684
273.0,273.0,0.6806805
274.0,274.0,0.03386699
275.0,275.0,0.31591302
276.0,276.0,0.02473092
277.0,277.0,0.8299489
278.0,278.0,0.3950994
279.0,279.0,0.4097794
280.0,280.0,0.15123902
281.0,281.0,0.43566793
282.0,282.0,0.08213776
283.0,283.0,0.8370124
284.0,284.0,0.24234675
285.0,285.0,0.87189615
286.0,286.0,0.10623928
287.0,287.0,0.62495106
288.0,288.0,0.13272244
289.0,289.0,0.43562186
290.0,290.0,0.05878645
291.0,291.0,0.4076498
292.0,292.0,0.7441478
293.0,293.0,0.64649063
294.0,294.0,0.17999884
295.0,295.0,0.6897202
296.0,296.0,0.0914588
297.0,297.0,0.10571248
298.0,298.0,0.35406786
299.0,299.0,0.0269266
300.0,300.0,0.7969992
301.0,301.0,0.024827676
302.0,302.0,0.7267668
303.0,303.0,0.10201792
304.0,304.0,0.09129218
305.0,305.0,0.5224219
306.0,306.0,0.105359755
307.0,307.0,0.36515227
308.0,308.0,0.14273764
309.0,309.0,0.016832389
310.0,310.0,0.4204033
311.0,311.0,0.27711165
312.0,312.0,0.20702323
313.0,313.0,0.6306053
314.0,314.0,0.34582233
315.0,315.0,0.43910468
316.0,316.0,0.64173543
317.0,317.0,0.27375993
318.0,318.0,0.40940785
319.0,319.0,0.830617
320.0,320.0,0.15478691
321.0,321.0,0.6748942
322.0,322.0,0.021113366
