x,y,species cloglog values
229.0,229.0,0.4869623
230.0,230.0,0.23780327
231.0,231.0,0.22053294
232.0,232.0,0.42570987
233.0,233.0,0.28437248
234.0,234.0,0.6239961
235.0,235.0,0.44328988
236.0,236.0,0.7264143
237.0,237.0,0.90850914
238.0,238.0,0.8580559
239.0,239.0,0.27029142
240.0,240.0,0.15103114
241.0,241.0,0.35189694
242.0,242.0,0.31575242
243.0,243.0,0.4678876
244.0,244.0,0.22256394
245.0,245.0,0.1385713
246.0,246.0,0.30609417
247.0,247.0,0.5052015
248.0,248.0,0.3539329
249.0,249.0,0.41795668
250.0,250.0,0.23120448
251.0,251.0,0.17069824
252.0,252.0,0.9286529
253.0,253.0,0.72644496
254.0,254.0,0.70890754
255.0,255.0,0.16986035
256.0,256.0,0.3124365
257.0,257.0,0.1628651
258.0,258.0,0.22869512
259.0,259.0,0.20465332
260.0,260.0,0.61141396
261.0,261.0,0.410206
262.0,262.0,0.29558212
263.0,263.0,0.3473612
264.0,264.0,0.15738356
265.0,265.0,0.16272089
266.0,266.0,0.72915894
267.0,267.0,0.26209402
268.0,268.0,0.38920176
269.0,269.0,0.21487488
270.0,270.0,0.58549595
271.0,271.0,0.25183737
272.0,272.0,0.17835619
273.0,273.0,0.55963326
274.0,274.0,0.44856918
275.0,275.0,0.51130337
276.0,276.0,0.8448727
277.0,277.0,0.9091448
278.0,278.0,0.19273768
279.0,279.0,0.564765
280.0,280.0,0.6117514
281.0,281.0,0.16951743
282.0,282.0,0.27680436
283.0,283.0,0.8277268
284.0,284.0,0.2631895
285.0,285.0,0.30231756
286.0,286.0,0.57193834
287.0,287.0,0.3607685
288.0,288.0,0.3253979
289.0,289.0,0.23202097
290.0,290.0,0.1654451
291.0,291.0,0.40169382
292.0,292.0,0.22618498
293.0,293.0,0.25972545
294.0,294.0,0.5219088
295.0,295.0,0.19804898
296.0,296.0,0.58524525
297.0,297.0,0.27275926
298.0,298.0,0.24906054
299.0,299.0,0.6481351
300.0,300.0,0.29094625
301.0,301.0,0.54249376
302.0,302.0,0.18593615
303.0,303.0,0.32259807
304.0,304.0,0.9555305
305.0,305.0,0.584761
306.0,306.0,0.15314546
307.0,307.0,0.5824412
308.0,308.0,0.56876236
309.0,309.0,0.4633002
310.0,310.0,0.5802679
311.0,311.0,0.3198891
312.0,312.0,0.19072537
313.0,313.0,0.7459524
314.0,314.0,0.48258257
315.0,315.0,0.25979286
316.0,316.0,0.85213447
317.0,317.0,0.21150564
318.0,318.0,0.64597625
319.0,319.0,0.47461194
320.0,320.0,0.50416386
321.0,321.0,0.17272988
322.0,322.0,0.15979268
323.0,323.0,0.4891362
324.0,324.0,0.31664628
325.0,325.0,0.8281196
326.0,326.0,0.38884833
