Book/Paper,Taxon,Culture#,Chromosome#,Total#ofChromosomes,Source/Locality,Collection Date,Collector,Latitude,Longitude,"Comments(habitat is forest,floodplain=out of the way,non-city)"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,311,2n,14,Texas. Aransas Co.: Aransas Refuge,4/9/1945,V.L. Cory 48895,28.246813,-96.858324,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,166,2n,14,Texas. Brazos Co.: 2 mi. n. of Bryan,4/17/1942,R.G. Reeves,30.740674,-96.36663,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,310,2n ,14,Texas. Brazos Co.: 3 mi. n. of Bryan,4/7/1945,V.L. Cory 48812,30.754616,-96.364828,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,421,2n,14,Texas. Brazos Co.: between Bryan and Hearne,4/23/1940,R.G. Reeves 294,30.790755,-96.490116,coordinate near US Route 190
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,424,2n,14,Texas. Brazos Co.: between Bryan and Hearne,4/23/1940,R.G. Reeves 297,30.790755,-96.490116,coordinate near US Route 190
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,420,2n,14,Texas. Brazos Co.: College Station,4/20/1940,0.J. Curry,30.605775,-96.289,coordinate taken where Earl Rudder Fwy S meets Bee Creek
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,312,2n,14,Texas. Calhoun Co.: 1.5 mi. e. of Seadrift,4/11/1945,V.L. Cory 49057,28.413939,-96.674487,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,422,2n,14,Texas. Robertson Co.: 3 mi. n. of Benchley,4/23/1940,R.G. Reeves 295,30.791818,-96.459778,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,974,2n,14,Texas. San Augustine Co.: 1 mi. w. of San Augustine,4/4/1953,R.C. Rollins 5338,31.53016,-94.147226,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,498a,2n ,28,Grown from bulbs purchased from Rex Pearce Mooretown N.J. as A. unifolium,not provided,not provided,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
