X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.1691014847140688E-4,30.04676866686737,0.5529531877720345
2.0,2.0,train,2.3287976472918237E-4,69.07020756606124,0.7988505334423155
3.0,3.0,train,2.3423629154808128E-4,69.90336255060103,0.8007208435635752
4.0,4.0,train,2.1594885696853003E-4,60.496592524219416,0.7739759233589516
5.0,5.0,train,2.3336727640131474E-4,69.36848628226852,0.7995247018214613
6.0,6.0,train,1.5322417925675905E-4,39.40302029903374,0.6518651944312359
7.0,7.0,train,1.613090946002642E-4,41.310228280534176,0.6707182776050598
8.0,8.0,train,1.9226524240336136E-4,50.50478395069961,0.7339360324685614
10.0,10.0,train,7.648511474450392E-5,18.881336675915026,0.40945435593899515
9.0,9.0,test,1.0215571391409557E-4,25.8047164540292,0.5051431668994493
