X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.441337162495613E-5,25.754076037641912,0.4951145614091149
2.0,2.0,train,1.9910335518276385E-4,63.58524568044074,0.7633649220009022
3.0,3.0,train,1.9661765718535228E-4,62.393807850333125,0.7590685979202945
4.0,4.0,train,1.845988409426274E-4,56.477631914062286,0.737168786624836
6.0,6.0,train,1.567594254108674E-4,46.000555732312854,0.678489128304744
7.0,7.0,train,1.5688044641106307E-4,46.04162453161525,0.6787706570437173
8.0,8.0,train,2.2827503070202803E-4,75.2055709249145,0.8084102913087962
9.0,9.0,train,1.351125193571345E-4,38.000082066286105,0.6239487779086592
10.0,10.0,train,9.287500355502935E-5,25.33650034302623,0.48946089764970957
5.0,5.0,test,1.9285281424552737E-4,59.99483449177273,0.7524123724795089
