x,y,species median
229.0,229.0,0.61195296
230.0,230.0,0.8709975
231.0,231.0,0.29380172
232.0,232.0,0.60253954
233.0,233.0,0.7095399
234.0,234.0,0.29488227
235.0,235.0,0.23826668
236.0,236.0,0.50331384
237.0,237.0,0.20686777
238.0,238.0,0.15121175
239.0,239.0,0.5009204
240.0,240.0,0.698118
241.0,241.0,0.91576767
242.0,242.0,0.22902775
243.0,243.0,0.39597404
244.0,244.0,0.7955272
245.0,245.0,0.6639611
246.0,246.0,0.18319003
247.0,247.0,0.92484885
248.0,248.0,0.27558568
249.0,249.0,0.4040449
250.0,250.0,0.40186685
251.0,251.0,0.19842665
252.0,252.0,0.361388
253.0,253.0,0.20412196
254.0,254.0,0.46866181
255.0,255.0,0.503712
256.0,256.0,0.2072538
257.0,257.0,0.71979827
258.0,258.0,0.17797428
259.0,259.0,0.24859013
260.0,260.0,0.7982178
261.0,261.0,0.7632302
262.0,262.0,0.46893337
263.0,263.0,0.7845699
264.0,264.0,0.2193531
265.0,265.0,0.5311441
266.0,266.0,0.6377736
267.0,267.0,0.31753406
268.0,268.0,0.20910601
269.0,269.0,0.2667981
270.0,270.0,0.42273888
271.0,271.0,0.16946821
272.0,272.0,0.28594387
273.0,273.0,0.15468584
274.0,274.0,0.22204277
275.0,275.0,0.6366456
276.0,276.0,0.8894407
277.0,277.0,0.51361585
278.0,278.0,0.20582344
279.0,279.0,0.31329063
280.0,280.0,0.7639201
281.0,281.0,0.7336845
282.0,282.0,0.16614316
283.0,283.0,0.31872907
284.0,284.0,0.7039304
285.0,285.0,0.14196397
286.0,286.0,0.42616156
287.0,287.0,0.7099702
288.0,288.0,0.15444909
289.0,289.0,0.24749933
290.0,290.0,0.6665026
291.0,291.0,0.24456802
292.0,292.0,0.19139321
293.0,293.0,0.5301525
294.0,294.0,0.28569412
295.0,295.0,0.18388705
296.0,296.0,0.50322014
297.0,297.0,0.39159212
298.0,298.0,0.69688267
299.0,299.0,0.444338
300.0,300.0,0.38612655
301.0,301.0,0.51106656
302.0,302.0,0.20589027
303.0,303.0,0.18407115
304.0,304.0,0.3656178
305.0,305.0,0.17458327
306.0,306.0,0.15272708
307.0,307.0,0.30425972
308.0,308.0,0.46469417
309.0,309.0,0.122496136
310.0,310.0,0.70221484
311.0,311.0,0.29737073
312.0,312.0,0.25789747
313.0,313.0,0.21189462
314.0,314.0,0.11967792
315.0,315.0,0.6647997
316.0,316.0,0.14151408
317.0,317.0,0.84956926
318.0,318.0,0.9648883
319.0,319.0,0.76337236
320.0,320.0,0.24372742
321.0,321.0,0.28340802
322.0,322.0,0.5741786
323.0,323.0,0.7742732
324.0,324.0,0.18919958
325.0,325.0,0.5279905
326.0,326.0,0.43893504
327.0,327.0,0.17720583
328.0,328.0,0.77862614
329.0,329.0,0.8082365
330.0,330.0,0.18824853
331.0,331.0,0.65407413
332.0,332.0,0.37239823
333.0,333.0,0.7412504
334.0,334.0,0.607591
335.0,335.0,0.34989408
336.0,336.0,0.36616284
337.0,337.0,0.7464058
338.0,338.0,0.62679034
339.0,339.0,0.17574157
340.0,340.0,0.19311193
341.0,341.0,0.76020813
342.0,342.0,0.74665654
343.0,343.0,0.1740332
344.0,344.0,0.32097825
345.0,345.0,0.7833112
346.0,346.0,0.700566
347.0,347.0,0.2099938
348.0,348.0,0.28113374
349.0,349.0,0.8338298
350.0,350.0,0.24659863
351.0,351.0,0.79395556
352.0,352.0,0.7102313
353.0,353.0,0.29047465
354.0,354.0,0.13444062
355.0,355.0,0.15263353
356.0,356.0,0.5813387
357.0,357.0,0.15563689
358.0,358.0,0.4827959
359.0,359.0,0.7203284
360.0,360.0,0.7038981
361.0,361.0,0.75243264
362.0,362.0,0.21757783
363.0,363.0,0.62824345
364.0,364.0,0.59662586
365.0,365.0,0.32386857
366.0,366.0,0.37317306
367.0,367.0,0.5205711
368.0,368.0,0.5130359
369.0,369.0,0.2355842
370.0,370.0,0.5094096
371.0,371.0,0.15163235
372.0,372.0,0.17583363
373.0,373.0,0.23709552
374.0,374.0,0.5270463
375.0,375.0,0.18034743
376.0,376.0,0.21536101
377.0,377.0,0.9255831
378.0,378.0,0.83638805
379.0,379.0,0.47948676
380.0,380.0,0.8190378
381.0,381.0,0.35537794
382.0,382.0,0.6052575
383.0,383.0,0.76293385
384.0,384.0,0.2245754
385.0,385.0,0.19491003
386.0,386.0,0.33270714
387.0,387.0,0.5544452
388.0,388.0,0.23887002
389.0,389.0,0.1861848
390.0,390.0,0.7418148
391.0,391.0,0.13873106
392.0,392.0,0.65598196
393.0,393.0,0.16025473
394.0,394.0,0.58481896
395.0,395.0,0.14290497
396.0,396.0,0.6806528
397.0,397.0,0.8495722
398.0,398.0,0.14921126
399.0,399.0,0.61158913
400.0,400.0,0.34020787
401.0,401.0,0.90617007
402.0,402.0,0.5437099
403.0,403.0,0.55530596
404.0,404.0,0.73912174
405.0,405.0,0.23380578
406.0,406.0,0.14421743
407.0,407.0,0.7600929
408.0,408.0,0.1708727
409.0,409.0,0.6168274
410.0,410.0,0.25127554
411.0,411.0,0.16465414
412.0,412.0,0.19040467
413.0,413.0,0.23804018
414.0,414.0,0.57839864
415.0,415.0,0.7319431
416.0,416.0,0.2309136
417.0,417.0,0.1881886
418.0,418.0,0.69010675
419.0,419.0,0.91401935
420.0,420.0,0.25602454
421.0,421.0,0.18078236
422.0,422.0,0.17161782
423.0,423.0,0.7693008
424.0,424.0,0.3392342
425.0,425.0,0.3213647
426.0,426.0,0.6640065
427.0,427.0,0.20843816
428.0,428.0,0.17199561
