x,y,species min
229.0,229.0,0.30001783
230.0,230.0,0.14917588
231.0,231.0,0.41183123
232.0,232.0,0.48383865
233.0,233.0,0.1280399
234.0,234.0,0.07558083
235.0,235.0,0.11631156
236.0,236.0,0.941475
237.0,237.0,0.07409184
238.0,238.0,0.079648405
239.0,239.0,0.09993146
240.0,240.0,0.1621166
241.0,241.0,0.6794416
242.0,242.0,0.89826506
243.0,243.0,0.41150683
244.0,244.0,0.1431231
245.0,245.0,0.3569071
246.0,246.0,0.08865119
247.0,247.0,0.18093678
248.0,248.0,0.23657766
249.0,249.0,0.68435127
250.0,250.0,0.15414822
251.0,251.0,0.10761003
252.0,252.0,0.2153749
253.0,253.0,0.6428549
254.0,254.0,0.1329972
255.0,255.0,0.7904152
256.0,256.0,0.18030366
257.0,257.0,0.7147677
258.0,258.0,0.5090621
259.0,259.0,0.6627311
260.0,260.0,0.09551561
261.0,261.0,0.30556834
262.0,262.0,0.40084937
263.0,263.0,0.65525436
264.0,264.0,0.6373181
265.0,265.0,0.11239199
266.0,266.0,0.79186004
267.0,267.0,0.20344889
268.0,268.0,0.5385037
269.0,269.0,0.7123419
270.0,270.0,0.11677647
271.0,271.0,0.41489202
272.0,272.0,0.7457367
273.0,273.0,0.57175535
274.0,274.0,0.13156539
275.0,275.0,0.6870071
276.0,276.0,0.69748306
277.0,277.0,0.4123296
278.0,278.0,0.13758318
279.0,279.0,0.08373989
280.0,280.0,0.6057955
281.0,281.0,0.18016797
282.0,282.0,0.29242495
283.0,283.0,0.18350282
284.0,284.0,0.7042295
285.0,285.0,0.60236406
286.0,286.0,0.09221961
287.0,287.0,0.10966962
288.0,288.0,0.104817614
289.0,289.0,0.081236795
290.0,290.0,0.21636671
291.0,291.0,0.23892571
292.0,292.0,0.630095
293.0,293.0,0.115366176
294.0,294.0,0.30340073
295.0,295.0,0.12773633
296.0,296.0,0.71390444
297.0,297.0,0.87757623
298.0,298.0,0.1668017
299.0,299.0,0.14174771
300.0,300.0,0.13679913
301.0,301.0,0.72770274
302.0,302.0,0.47544333
303.0,303.0,0.6516633
304.0,304.0,0.1277581
305.0,305.0,0.3301805
306.0,306.0,0.8437247
307.0,307.0,0.19990309
308.0,308.0,0.45716298
309.0,309.0,0.49043164
310.0,310.0,0.59121066
311.0,311.0,0.17310156
312.0,312.0,0.1811448
313.0,313.0,0.67467356
314.0,314.0,0.2086356
315.0,315.0,0.12644348
316.0,316.0,0.40384492
317.0,317.0,0.7795011
318.0,318.0,0.29261512
319.0,319.0,0.36151126
320.0,320.0,0.8807427
321.0,321.0,0.2156699
322.0,322.0,0.075330056
323.0,323.0,0.41343284
324.0,324.0,0.15616135
325.0,325.0,0.15373392
326.0,326.0,0.15209147
327.0,327.0,0.18575858
328.0,328.0,0.102762684
329.0,329.0,0.12100506
330.0,330.0,0.1555107
331.0,331.0,0.22911584
332.0,332.0,0.17238143
333.0,333.0,0.124570794
334.0,334.0,0.5572432
335.0,335.0,0.65890265
336.0,336.0,0.10922158
337.0,337.0,0.29003248
338.0,338.0,0.95199215
339.0,339.0,0.123218395
340.0,340.0,0.43017858
341.0,341.0,0.36074767
342.0,342.0,0.14146286
343.0,343.0,0.45835188
344.0,344.0,0.39595297
345.0,345.0,0.37673917
346.0,346.0,0.18584396
347.0,347.0,0.43031052
348.0,348.0,0.71176815
349.0,349.0,0.50993
350.0,350.0,0.2598789
351.0,351.0,0.36093184
352.0,352.0,0.9462311
353.0,353.0,0.19343391
354.0,354.0,0.58255595
355.0,355.0,0.12714267
356.0,356.0,0.13033327
357.0,357.0,0.15516435
358.0,358.0,0.079505034
359.0,359.0,0.4004647
360.0,360.0,0.14184128
361.0,361.0,0.5617193
362.0,362.0,0.21232085
363.0,363.0,0.23746227
364.0,364.0,0.27313936
365.0,365.0,0.23423988
366.0,366.0,0.15334947
367.0,367.0,0.15168467
368.0,368.0,0.41949356
369.0,369.0,0.47038737
370.0,370.0,0.5745298
371.0,371.0,0.16953984
372.0,372.0,0.13052277
373.0,373.0,0.83467114
374.0,374.0,0.42065084
375.0,375.0,0.35902792
376.0,376.0,0.25075126
377.0,377.0,0.6033026
378.0,378.0,0.1317415
379.0,379.0,0.4897936
380.0,380.0,0.8821132
381.0,381.0,0.45297346
382.0,382.0,0.821374
383.0,383.0,0.6458427
