x,y,species min
229.0,229.0,0.762543
230.0,230.0,0.72798854
231.0,231.0,0.16149874
232.0,232.0,0.65562385
233.0,233.0,0.6343382
234.0,234.0,0.3695028
235.0,235.0,0.15800852
236.0,236.0,0.14355522
237.0,237.0,0.11903616
238.0,238.0,0.7842801
239.0,239.0,0.10812196
240.0,240.0,0.8254523
241.0,241.0,0.6154498
242.0,242.0,0.6629397
243.0,243.0,0.17053406
244.0,244.0,0.08671609
245.0,245.0,0.14252366
246.0,246.0,0.35016105
247.0,247.0,0.63106483
248.0,248.0,0.6257038
249.0,249.0,0.62926835
250.0,250.0,0.7024926
251.0,251.0,0.20842001
252.0,252.0,0.48515737
253.0,253.0,0.64791745
254.0,254.0,0.24196379
255.0,255.0,0.611069
256.0,256.0,0.14710969
257.0,257.0,0.73569584
258.0,258.0,0.79803514
259.0,259.0,0.69666654
260.0,260.0,0.47899926
261.0,261.0,0.47246426
262.0,262.0,0.4950511
263.0,263.0,0.626999
264.0,264.0,0.36344522
265.0,265.0,0.27629212
266.0,266.0,0.14493096
267.0,267.0,0.23072451
268.0,268.0,0.5712717
269.0,269.0,0.28122982
270.0,270.0,0.62267774
271.0,271.0,0.3932546
272.0,272.0,0.7954442
273.0,273.0,0.59940696
274.0,274.0,0.7924154
275.0,275.0,0.46960348
276.0,276.0,0.08171973
277.0,277.0,0.7382244
278.0,278.0,0.33250028
279.0,279.0,0.12321405
280.0,280.0,0.58420724
281.0,281.0,0.38042882
282.0,282.0,0.32996643
283.0,283.0,0.46286964
284.0,284.0,0.5200093
285.0,285.0,0.24666472
286.0,286.0,0.45376295
287.0,287.0,0.14223929
288.0,288.0,0.54464567
289.0,289.0,0.7897383
290.0,290.0,0.77425516
291.0,291.0,0.096798226
292.0,292.0,0.6337752
293.0,293.0,0.7302757
294.0,294.0,0.46519023
295.0,295.0,0.36512142
296.0,296.0,0.8452819
297.0,297.0,0.6242482
298.0,298.0,0.59158236
299.0,299.0,0.09732731
300.0,300.0,0.16087696
301.0,301.0,0.7366106
302.0,302.0,0.5065084
303.0,303.0,0.3972305
304.0,304.0,0.13702933
305.0,305.0,0.5123454
306.0,306.0,0.2827305
307.0,307.0,0.32930756
308.0,308.0,0.67625916
309.0,309.0,0.23282641
310.0,310.0,0.63174
311.0,311.0,0.69328946
312.0,312.0,0.23839688
313.0,313.0,0.74221563
314.0,314.0,0.16860308
315.0,315.0,0.43647033
316.0,316.0,0.49018404
317.0,317.0,0.13134664
318.0,318.0,0.82156414
319.0,319.0,0.50726444
320.0,320.0,0.23954241
321.0,321.0,0.799648
322.0,322.0,0.19429672
323.0,323.0,0.12450252
324.0,324.0,0.25206798
325.0,325.0,0.6344916
326.0,326.0,0.20907024
327.0,327.0,0.6477812
328.0,328.0,0.29213473
329.0,329.0,0.6145281
330.0,330.0,0.2734424
331.0,331.0,0.5883258
332.0,332.0,0.35027805
333.0,333.0,0.54669785
334.0,334.0,0.6432119
335.0,335.0,0.72840446
336.0,336.0,0.20496055
337.0,337.0,0.6102592
338.0,338.0,0.61542505
339.0,339.0,0.0965736
340.0,340.0,0.31291893
341.0,341.0,0.7337912
342.0,342.0,0.18076682
343.0,343.0,0.58751833
344.0,344.0,0.20020965
345.0,345.0,0.7346185
346.0,346.0,0.6357246
347.0,347.0,0.20181805
348.0,348.0,0.48570412
349.0,349.0,0.63440245
350.0,350.0,0.6146255
351.0,351.0,0.19466037
352.0,352.0,0.16044731
353.0,353.0,0.12926953
354.0,354.0,0.27043465
355.0,355.0,0.3998005
356.0,356.0,0.18314125
357.0,357.0,0.38947323
358.0,358.0,0.28052214
359.0,359.0,0.76234454
360.0,360.0,0.17676161
361.0,361.0,0.14871886
362.0,362.0,0.41449177
363.0,363.0,0.18001541
364.0,364.0,0.5384336
365.0,365.0,0.29247248
366.0,366.0,0.77458066
367.0,367.0,0.11167985
368.0,368.0,0.43536457
369.0,369.0,0.28536946
370.0,370.0,0.1484633
371.0,371.0,0.16126482
372.0,372.0,0.59621996
373.0,373.0,0.16965534
374.0,374.0,0.6208899
375.0,375.0,0.34449127
376.0,376.0,0.59352756
377.0,377.0,0.18127044
378.0,378.0,0.1772388
379.0,379.0,0.38397986
380.0,380.0,0.27561992
381.0,381.0,0.39617082
382.0,382.0,0.42223132
383.0,383.0,0.24865684
384.0,384.0,0.71325934
385.0,385.0,0.37697604
386.0,386.0,0.5078876
387.0,387.0,0.2542996
388.0,388.0,0.3376628
389.0,389.0,0.7337309
390.0,390.0,0.482027
391.0,391.0,0.25514865
392.0,392.0,0.08207541
393.0,393.0,0.53332156
394.0,394.0,0.77699715
395.0,395.0,0.29381162
396.0,396.0,0.7348847
397.0,397.0,0.35958335
398.0,398.0,0.803917
399.0,399.0,0.5756588
400.0,400.0,0.7967204
401.0,401.0,0.6550268
402.0,402.0,0.20849384
403.0,403.0,0.17841637
404.0,404.0,0.10958616
405.0,405.0,0.6310336
406.0,406.0,0.18539587
407.0,407.0,0.67963636
408.0,408.0,0.47427383
409.0,409.0,0.12609036
410.0,410.0,0.4859635
411.0,411.0,0.26113486
412.0,412.0,0.656099
413.0,413.0,0.6160228
414.0,414.0,0.6475276
415.0,415.0,0.3604873
416.0,416.0,0.17141165
417.0,417.0,0.23266219
418.0,418.0,0.08268729
419.0,419.0,0.087169886
420.0,420.0,0.7635533
421.0,421.0,0.7538051
422.0,422.0,0.31718624
423.0,423.0,0.3810443
424.0,424.0,0.08979737
425.0,425.0,0.6001309
426.0,426.0,0.7235854
427.0,427.0,0.3711564
428.0,428.0,0.33970553
429.0,429.0,0.7229853
430.0,430.0,0.36100414
431.0,431.0,0.47374272
432.0,432.0,0.30744678
433.0,433.0,0.6173543
434.0,434.0,0.30536547
435.0,435.0,0.43688756
436.0,436.0,0.716994
437.0,437.0,0.64107555
438.0,438.0,0.21813068
439.0,439.0,0.72883475
440.0,440.0,0.1481811
441.0,441.0,0.65355283
442.0,442.0,0.57603437
443.0,443.0,0.503209
444.0,444.0,0.27656394
445.0,445.0,0.33193272
446.0,446.0,0.66157407
447.0,447.0,0.17370391
448.0,448.0,0.6964939
449.0,449.0,0.41438466
450.0,450.0,0.7453387
451.0,451.0,0.1688735
452.0,452.0,0.8488923
453.0,453.0,0.16224766
454.0,454.0,0.35218015
455.0,455.0,0.60330904
456.0,456.0,0.48024616
457.0,457.0,0.6435552
458.0,458.0,0.16116007
459.0,459.0,0.33451426
460.0,460.0,0.17431866
461.0,461.0,0.08010918
462.0,462.0,0.2741049
463.0,463.0,0.8326958
464.0,464.0,0.40900713
465.0,465.0,0.28546858
466.0,466.0,0.22679599
467.0,467.0,0.6463599
468.0,468.0,0.3390807
469.0,469.0,0.2542273
470.0,470.0,0.17186601
471.0,471.0,0.21964343
472.0,472.0,0.12736806
473.0,473.0,0.61917114
474.0,474.0,0.16603273
475.0,475.0,0.36613548
476.0,476.0,0.12852749
