x,y,species cloglog values
229.0,229.0,0.43022558
230.0,230.0,0.8351675
231.0,231.0,0.3843618
232.0,232.0,0.68520945
233.0,233.0,0.6923314
234.0,234.0,0.25992438
235.0,235.0,0.4262536
236.0,236.0,0.38899454
237.0,237.0,0.4245495
238.0,238.0,0.41374472
239.0,239.0,0.73394555
240.0,240.0,0.7790255
241.0,241.0,0.754084
242.0,242.0,0.74439436
243.0,243.0,0.43185475
244.0,244.0,0.36507636
245.0,245.0,0.47626042
246.0,246.0,0.70296395
247.0,247.0,0.74257267
248.0,248.0,0.72564256
249.0,249.0,0.564364
250.0,250.0,0.4241054
251.0,251.0,0.5526909
252.0,252.0,0.49315187
253.0,253.0,0.48155838
254.0,254.0,0.6291049
255.0,255.0,0.26436207
256.0,256.0,0.41488904
257.0,257.0,0.5311347
258.0,258.0,0.7132049
259.0,259.0,0.47385556
260.0,260.0,0.46138045
261.0,261.0,0.45358858
262.0,262.0,0.7362733
263.0,263.0,0.7754792
264.0,264.0,0.6740001
265.0,265.0,0.48962465
266.0,266.0,0.3635759
267.0,267.0,0.6246883
268.0,268.0,0.707857
269.0,269.0,0.44125187
270.0,270.0,0.41795814
271.0,271.0,0.3363965
272.0,272.0,0.6261994
273.0,273.0,0.58235776
274.0,274.0,0.32108548
275.0,275.0,0.77270126
276.0,276.0,0.8242946
277.0,277.0,0.8600369
278.0,278.0,0.35568696
279.0,279.0,0.6314346
280.0,280.0,0.6374549
281.0,281.0,0.772148
282.0,282.0,0.44014865
283.0,283.0,0.4896824
284.0,284.0,0.42605478
285.0,285.0,0.7181831
286.0,286.0,0.4795116
287.0,287.0,0.5449172
288.0,288.0,0.5380731
289.0,289.0,0.3821217
290.0,290.0,0.46654746
291.0,291.0,0.5750308
292.0,292.0,0.46792802
293.0,293.0,0.5074437
294.0,294.0,0.28511435
295.0,295.0,0.5132962
296.0,296.0,0.75969964
297.0,297.0,0.75466883
298.0,298.0,0.46755964
299.0,299.0,0.3696477
300.0,300.0,0.7316238
301.0,301.0,0.4964554
302.0,302.0,0.5164314
303.0,303.0,0.49614844
304.0,304.0,0.7407231
305.0,305.0,0.5076801
306.0,306.0,0.4298314
307.0,307.0,0.47472006
308.0,308.0,0.84334457
309.0,309.0,0.67832166
310.0,310.0,0.6061037
311.0,311.0,0.9115493
312.0,312.0,0.7237409
313.0,313.0,0.48406166
314.0,314.0,0.41027805
315.0,315.0,0.6106669
316.0,316.0,0.3320076
317.0,317.0,0.50945383
318.0,318.0,0.4094082
319.0,319.0,0.79888237
320.0,320.0,0.39479187
321.0,321.0,0.35340703
322.0,322.0,0.61671984
323.0,323.0,0.39833
324.0,324.0,0.47636408
325.0,325.0,0.744645
326.0,326.0,0.43119186
327.0,327.0,0.44355345
328.0,328.0,0.64524585
329.0,329.0,0.69914854
330.0,330.0,0.7200008
