x,y,species max
230.0,230.0,0.7568017
231.0,231.0,0.5257901
232.0,232.0,0.7543288
233.0,233.0,0.6745522
234.0,234.0,0.59206694
235.0,235.0,0.52785236
236.0,236.0,0.5042396
237.0,237.0,0.4673291
238.0,238.0,0.8916608
239.0,239.0,0.48927826
240.0,240.0,0.9662025
241.0,241.0,0.6909954
242.0,242.0,0.7296338
243.0,243.0,0.52666354
244.0,244.0,0.45200866
245.0,245.0,0.50334954
246.0,246.0,0.58933175
247.0,247.0,0.7295162
248.0,248.0,0.7332705
249.0,249.0,0.7939644
250.0,250.0,0.7960393
251.0,251.0,0.4919156
252.0,252.0,0.6159837
253.0,253.0,0.7744129
254.0,254.0,0.5293219
255.0,255.0,0.70231104
256.0,256.0,0.5068787
257.0,257.0,0.8696781
258.0,258.0,0.9412617
259.0,259.0,0.7402904
260.0,260.0,0.5855897
261.0,261.0,0.67913955
262.0,262.0,0.67250454
263.0,263.0,0.7357194
264.0,264.0,0.5937677
265.0,265.0,0.5517053
266.0,266.0,0.50572854
267.0,267.0,0.5636442
268.0,268.0,0.7183676
269.0,269.0,0.46828791
270.0,270.0,0.74442005
271.0,271.0,0.64796
272.0,272.0,0.8697657
273.0,273.0,0.7326326
274.0,274.0,0.9099391
275.0,275.0,0.6685223
276.0,276.0,0.41458088
277.0,277.0,0.841367
278.0,278.0,0.46606272
279.0,279.0,0.5012186
280.0,280.0,0.63974625
281.0,281.0,0.60033983
282.0,282.0,0.58036935
283.0,283.0,0.64936316
284.0,284.0,0.68637365
285.0,285.0,0.46156085
286.0,286.0,0.6885955
287.0,287.0,0.48814583
288.0,288.0,0.6935164
289.0,289.0,0.8785121
290.0,290.0,0.91925126
291.0,291.0,0.38599947
292.0,292.0,0.76151705
293.0,293.0,0.81868184
294.0,294.0,0.7696434
295.0,295.0,0.55513096
296.0,296.0,0.93021756
297.0,297.0,0.7151461
298.0,298.0,0.7509693
299.0,299.0,0.48076266
300.0,300.0,0.51692265
301.0,301.0,0.7917111
302.0,302.0,0.693614
303.0,303.0,0.55950665
304.0,304.0,0.46309647
305.0,305.0,0.69275296
306.0,306.0,0.538476
307.0,307.0,0.5861385
308.0,308.0,0.7374571
309.0,309.0,0.3698693
310.0,310.0,0.67943734
311.0,311.0,0.7858878
312.0,312.0,0.47604525
313.0,313.0,0.8325678
314.0,314.0,0.40880725
315.0,315.0,0.6346531
316.0,316.0,0.6857509
317.0,317.0,0.44876936
318.0,318.0,0.9273816
319.0,319.0,0.71260774
320.0,320.0,0.56518304
321.0,321.0,0.9233605
322.0,322.0,0.5581473
323.0,323.0,0.47399002
324.0,324.0,0.4587773
325.0,325.0,0.8839024
326.0,326.0,0.55278116
327.0,327.0,0.77315944
328.0,328.0,0.42409667
329.0,329.0,0.70896333
330.0,330.0,0.58065134
331.0,331.0,0.673003
332.0,332.0,0.5103697
333.0,333.0,0.6745937
334.0,334.0,0.73202014
335.0,335.0,0.74541277
336.0,336.0,0.5764133
337.0,337.0,0.7050843
338.0,338.0,0.6961513
339.0,339.0,0.4757344
340.0,340.0,0.5884323
341.0,341.0,0.808529
342.0,342.0,0.52790356
343.0,343.0,0.67416215
344.0,344.0,0.56926066
345.0,345.0,0.82021594
346.0,346.0,0.737358
347.0,347.0,0.38449013
348.0,348.0,0.6705212
349.0,349.0,0.71521664
350.0,350.0,0.76010305
351.0,351.0,0.52980226
352.0,352.0,0.50122046
353.0,353.0,0.5132181
354.0,354.0,0.4658508
355.0,355.0,0.63261545
356.0,356.0,0.5395324
357.0,357.0,0.6690183
358.0,358.0,0.55130947
359.0,359.0,0.84465426
360.0,360.0,0.51622343
361.0,361.0,0.436988
362.0,362.0,0.5951827
363.0,363.0,0.41369534
364.0,364.0,0.73209167
365.0,365.0,0.47633648
366.0,366.0,0.859081
367.0,367.0,0.49618796
368.0,368.0,0.6068609
369.0,369.0,0.6442842
370.0,370.0,0.52102065
371.0,371.0,0.52699816
372.0,372.0,0.7192032
373.0,373.0,0.5232434
374.0,374.0,0.7327608
375.0,375.0,0.50278354
376.0,376.0,0.7706958
377.0,377.0,0.5354588
378.0,378.0,0.53872514
379.0,379.0,0.6603491
380.0,380.0,0.5166682
381.0,381.0,0.534968
382.0,382.0,0.6434325
383.0,383.0,0.5481595
