x,y,species median
229.0,229.0,0.799652
230.0,230.0,0.5165573
231.0,231.0,0.48529106
232.0,232.0,0.6181931
233.0,233.0,0.62100726
234.0,234.0,0.5059536
235.0,235.0,0.65552086
236.0,236.0,0.52140296
237.0,237.0,0.679657
238.0,238.0,0.65770733
239.0,239.0,0.6394474
240.0,240.0,0.44778705
241.0,241.0,0.56502885
242.0,242.0,0.679686
243.0,243.0,0.47834903
244.0,244.0,0.6864016
245.0,245.0,0.66011554
246.0,246.0,0.66110176
247.0,247.0,0.6431209
248.0,248.0,0.5147274
249.0,249.0,0.6642828
250.0,250.0,0.4478817
251.0,251.0,0.60648185
252.0,252.0,0.6285629
253.0,253.0,0.59524363
254.0,254.0,0.56473744
255.0,255.0,0.70360756
256.0,256.0,0.5442243
257.0,257.0,0.65380406
258.0,258.0,0.49745414
259.0,259.0,0.64748585
260.0,260.0,0.453745
261.0,261.0,0.6734794
262.0,262.0,0.6763069
263.0,263.0,0.50673556
264.0,264.0,0.51946205
265.0,265.0,0.6953177
266.0,266.0,0.7461729
267.0,267.0,0.64001334
268.0,268.0,0.4904528
269.0,269.0,0.6056377
270.0,270.0,0.6434621
271.0,271.0,0.76696444
272.0,272.0,0.722153
273.0,273.0,0.6418065
274.0,274.0,0.7616403
275.0,275.0,0.64646906
276.0,276.0,0.6552572
277.0,277.0,0.58039725
278.0,278.0,0.4980578
279.0,279.0,0.48804834
280.0,280.0,0.6440469
281.0,281.0,0.52630246
282.0,282.0,0.43230352
283.0,283.0,0.48300177
284.0,284.0,0.5987299
285.0,285.0,0.77282894
286.0,286.0,0.76286095
287.0,287.0,0.66930264
288.0,288.0,0.535133
289.0,289.0,0.5898707
290.0,290.0,0.47117713
291.0,291.0,0.5145785
292.0,292.0,0.5903305
293.0,293.0,0.7789651
294.0,294.0,0.4542628
295.0,295.0,0.64092964
296.0,296.0,0.755398
297.0,297.0,0.6167054
298.0,298.0,0.6167829
299.0,299.0,0.58237773
300.0,300.0,0.57103115
301.0,301.0,0.644852
302.0,302.0,0.6376744
303.0,303.0,0.5074366
304.0,304.0,0.45099705
305.0,305.0,0.72845745
306.0,306.0,0.5541993
307.0,307.0,0.6639318
308.0,308.0,0.46397752
309.0,309.0,0.67409325
310.0,310.0,0.48746896
311.0,311.0,0.547008
312.0,312.0,0.5099167
313.0,313.0,0.7497848
314.0,314.0,0.82452834
315.0,315.0,0.71013784
316.0,316.0,0.47997773
317.0,317.0,0.5362306
318.0,318.0,0.4788811
319.0,319.0,0.73821586
320.0,320.0,0.4872007
321.0,321.0,0.49824482
322.0,322.0,0.44934472
323.0,323.0,0.4176842
324.0,324.0,0.52689976
325.0,325.0,0.4920147
326.0,326.0,0.6652987
327.0,327.0,0.7037983
328.0,328.0,0.5842969
329.0,329.0,0.5029825
330.0,330.0,0.7195127
331.0,331.0,0.7862655
332.0,332.0,0.75686437
333.0,333.0,0.67475826
334.0,334.0,0.78234994
335.0,335.0,0.4882291
336.0,336.0,0.5123718
337.0,337.0,0.49239904
338.0,338.0,0.75299424
339.0,339.0,0.4807352
340.0,340.0,0.52330387
341.0,341.0,0.5418287
342.0,342.0,0.6702369
343.0,343.0,0.48115158
344.0,344.0,0.63736326
345.0,345.0,0.54085565
346.0,346.0,0.7064317
347.0,347.0,0.5192273
348.0,348.0,0.44779944
349.0,349.0,0.79912865
350.0,350.0,0.6907986
351.0,351.0,0.64203006
352.0,352.0,0.6469869
353.0,353.0,0.4967557
354.0,354.0,0.6080594
355.0,355.0,0.66457564
356.0,356.0,0.632855
357.0,357.0,0.6639546
358.0,358.0,0.57917166
359.0,359.0,0.45915502
360.0,360.0,0.82147396
361.0,361.0,0.61535203
362.0,362.0,0.69456714
363.0,363.0,0.55054104
364.0,364.0,0.519144
365.0,365.0,0.5661453
366.0,366.0,0.595031
367.0,367.0,0.64075047
368.0,368.0,0.501653
369.0,369.0,0.6126815
370.0,370.0,0.48517948
371.0,371.0,0.6421656
372.0,372.0,0.6945441
373.0,373.0,0.5174124
374.0,374.0,0.54636294
375.0,375.0,0.50105345
376.0,376.0,0.5857857
377.0,377.0,0.727669
378.0,378.0,0.7520204
379.0,379.0,0.6518808
380.0,380.0,0.71963644
381.0,381.0,0.6231492
382.0,382.0,0.67661023
383.0,383.0,0.50959516
384.0,384.0,0.57697326
385.0,385.0,0.49022025
386.0,386.0,0.5865626
387.0,387.0,0.7149591
388.0,388.0,0.5176807
389.0,389.0,0.5188347
390.0,390.0,0.5441136
391.0,391.0,0.7279501
392.0,392.0,0.47073957
393.0,393.0,0.6529227
394.0,394.0,0.47045496
395.0,395.0,0.66923034
396.0,396.0,0.47132304
397.0,397.0,0.7171077
398.0,398.0,0.52204114
399.0,399.0,0.51721483
400.0,400.0,0.6599167
401.0,401.0,0.5952713
402.0,402.0,0.7697464
403.0,403.0,0.66942084
404.0,404.0,0.64676714
405.0,405.0,0.4943275
406.0,406.0,0.66894627
407.0,407.0,0.66573673
408.0,408.0,0.5613288
409.0,409.0,0.56862134
410.0,410.0,0.6428164
411.0,411.0,0.4498699
412.0,412.0,0.6393315
413.0,413.0,0.69414043
414.0,414.0,0.6852228
415.0,415.0,0.4569828
416.0,416.0,0.5571782
417.0,417.0,0.7643969
418.0,418.0,0.5601579
419.0,419.0,0.70735574
420.0,420.0,0.6661066
421.0,421.0,0.60017264
422.0,422.0,0.69027054
423.0,423.0,0.7700984
424.0,424.0,0.5916136
425.0,425.0,0.60311013
426.0,426.0,0.64455634
427.0,427.0,0.6717074
428.0,428.0,0.44616824
429.0,429.0,0.5134277
430.0,430.0,0.44164345
431.0,431.0,0.70645016
432.0,432.0,0.7241275
433.0,433.0,0.723534
434.0,434.0,0.5734351
435.0,435.0,0.6626511
436.0,436.0,0.4278394
437.0,437.0,0.66487306
438.0,438.0,0.5741633
439.0,439.0,0.6271831
440.0,440.0,0.5051183
441.0,441.0,0.5812181
442.0,442.0,0.6145606
443.0,443.0,0.5513512
444.0,444.0,0.6849298
445.0,445.0,0.6977667
446.0,446.0,0.5644217
447.0,447.0,0.49478093
448.0,448.0,0.4206718
449.0,449.0,0.66224456
450.0,450.0,0.5700592
451.0,451.0,0.7470408
452.0,452.0,0.59745836
453.0,453.0,0.78351444
454.0,454.0,0.6582289
455.0,455.0,0.75510204
456.0,456.0,0.68120277
457.0,457.0,0.47031265
458.0,458.0,0.7290254
459.0,459.0,0.56127053
460.0,460.0,0.44542074
461.0,461.0,0.77286655
462.0,462.0,0.763016
463.0,463.0,0.78191805
464.0,464.0,0.4453421
465.0,465.0,0.50978094
466.0,466.0,0.5986519
467.0,467.0,0.6912283
468.0,468.0,0.59277534
469.0,469.0,0.54406923
470.0,470.0,0.5677258
471.0,471.0,0.52742064
472.0,472.0,0.7482862
473.0,473.0,0.78047186
474.0,474.0,0.5099527
475.0,475.0,0.52209073
476.0,476.0,0.49717018
477.0,477.0,0.46985126
478.0,478.0,0.65754414
479.0,479.0,0.65637493
480.0,480.0,0.73030746
481.0,481.0,0.5686232
482.0,482.0,0.74812984
483.0,483.0,0.48102528
484.0,484.0,0.65599245
485.0,485.0,0.79113257
486.0,486.0,0.6675055
487.0,487.0,0.5619278
488.0,488.0,0.5962011
489.0,489.0,0.66918534
490.0,490.0,0.56442297
491.0,491.0,0.5106851
492.0,492.0,0.75087774
493.0,493.0,0.6422553
494.0,494.0,0.5288139
495.0,495.0,0.74954295
496.0,496.0,0.47080904
497.0,497.0,0.66421914
498.0,498.0,0.6412355
499.0,499.0,0.6122876
500.0,500.0,0.6317082
501.0,501.0,0.6407009
502.0,502.0,0.68465984
503.0,503.0,0.5003978
504.0,504.0,0.52736163
505.0,505.0,0.6660352
506.0,506.0,0.5562314
507.0,507.0,0.43874386
508.0,508.0,0.6034937
509.0,509.0,0.6908968
510.0,510.0,0.6687009
511.0,511.0,0.49748027
512.0,512.0,0.5506383
513.0,513.0,0.50881624
514.0,514.0,0.67795235
515.0,515.0,0.4494994
516.0,516.0,0.5939118
517.0,517.0,0.625964
518.0,518.0,0.7121631
519.0,519.0,0.5787051
520.0,520.0,0.5392595
521.0,521.0,0.5191523
522.0,522.0,0.67687297
523.0,523.0,0.47103125
524.0,524.0,0.5697653
525.0,525.0,0.6497464
526.0,526.0,0.5630301
527.0,527.0,0.5796322
528.0,528.0,0.6750504
529.0,529.0,0.5615376
530.0,530.0,0.4804394
531.0,531.0,0.623033
532.0,532.0,0.46884945
533.0,533.0,0.6446498
534.0,534.0,0.4304635
535.0,535.0,0.68378735
536.0,536.0,0.6443011
537.0,537.0,0.43369427
538.0,538.0,0.664965
539.0,539.0,0.6984721
540.0,540.0,0.47395068
541.0,541.0,0.7922398
542.0,542.0,0.81306076
543.0,543.0,0.64095503
544.0,544.0,0.6854163
545.0,545.0,0.5528792
546.0,546.0,0.5629869
547.0,547.0,0.54576236
548.0,548.0,0.5956969
549.0,549.0,0.49434528
550.0,550.0,0.6468808
551.0,551.0,0.43681577
552.0,552.0,0.6103513
553.0,553.0,0.6701632
554.0,554.0,0.54284656
555.0,555.0,0.4876465
556.0,556.0,0.54740244
557.0,557.0,0.80229264
558.0,558.0,0.6769648
559.0,559.0,0.5098221
560.0,560.0,0.47054982
561.0,561.0,0.6458475
562.0,562.0,0.46306595
563.0,563.0,0.6907027
564.0,564.0,0.51656204
565.0,565.0,0.6382147
566.0,566.0,0.74227214
567.0,567.0,0.45164442
568.0,568.0,0.66181743
569.0,569.0,0.5313724
570.0,570.0,0.45996758
571.0,571.0,0.60302633
572.0,572.0,0.49610037
573.0,573.0,0.5948398
574.0,574.0,0.469827
575.0,575.0,0.6864792
576.0,576.0,0.456255
577.0,577.0,0.6715618
578.0,578.0,0.5168966
579.0,579.0,0.57715917
580.0,580.0,0.6733372
581.0,581.0,0.6824774
582.0,582.0,0.48995945
583.0,583.0,0.6702811
584.0,584.0,0.68684727
585.0,585.0,0.521267
586.0,586.0,0.76182586
587.0,587.0,0.7084494
588.0,588.0,0.60969967
589.0,589.0,0.6326816
590.0,590.0,0.5009281
591.0,591.0,0.43895668
592.0,592.0,0.6707571
593.0,593.0,0.66354936
594.0,594.0,0.52927697
595.0,595.0,0.62768567
596.0,596.0,0.4710121
597.0,597.0,0.5795521
598.0,598.0,0.67900795
599.0,599.0,0.5215537
600.0,600.0,0.5417242
601.0,601.0,0.61153096
602.0,602.0,0.42889515
603.0,603.0,0.7127737
604.0,604.0,0.77409065
605.0,605.0,0.5902543
606.0,606.0,0.67343485
607.0,607.0,0.7541804
608.0,608.0,0.6640103
609.0,609.0,0.70897764
610.0,610.0,0.5090978
611.0,611.0,0.79321617
612.0,612.0,0.7655243
613.0,613.0,0.5886046
614.0,614.0,0.7806346
615.0,615.0,0.6528457
616.0,616.0,0.8053231
617.0,617.0,0.51525694
618.0,618.0,0.79107857
619.0,619.0,0.68133616
620.0,620.0,0.5547613
621.0,621.0,0.6155776
622.0,622.0,0.7106878
623.0,623.0,0.72918475
624.0,624.0,0.7855307
625.0,625.0,0.6932002
626.0,626.0,0.640471
627.0,627.0,0.67564124
628.0,628.0,0.62473285
629.0,629.0,0.5011055
630.0,630.0,0.43961996
631.0,631.0,0.6882797
632.0,632.0,0.65124136
633.0,633.0,0.47414112
634.0,634.0,0.51594037
635.0,635.0,0.7762894
636.0,636.0,0.6431664
637.0,637.0,0.56657237
638.0,638.0,0.50294787
639.0,639.0,0.66757697
640.0,640.0,0.60208464
641.0,641.0,0.49624872
642.0,642.0,0.51880753
643.0,643.0,0.66834956
644.0,644.0,0.52214915
645.0,645.0,0.5421101
646.0,646.0,0.7487562
647.0,647.0,0.6423286
648.0,648.0,0.5977492
649.0,649.0,0.71169126
650.0,650.0,0.74590015
651.0,651.0,0.65373045
652.0,652.0,0.58215094
653.0,653.0,0.46798602
654.0,654.0,0.6010927
655.0,655.0,0.6123313
656.0,656.0,0.81841666
657.0,657.0,0.59518194
658.0,658.0,0.59105796
659.0,659.0,0.5548343
660.0,660.0,0.5283847
661.0,661.0,0.58310336
662.0,662.0,0.4405886
663.0,663.0,0.601464
664.0,664.0,0.6915483
665.0,665.0,0.5823764
666.0,666.0,0.56833136
667.0,667.0,0.53409404
668.0,668.0,0.48249906
669.0,669.0,0.6450721
670.0,670.0,0.74848896
671.0,671.0,0.60833687
672.0,672.0,0.6617787
673.0,673.0,0.6487021
674.0,674.0,0.48303106
675.0,675.0,0.5535439
676.0,676.0,0.75922996
677.0,677.0,0.66870373
678.0,678.0,0.4933352
679.0,679.0,0.66309065
680.0,680.0,0.4658598
681.0,681.0,0.46779454
682.0,682.0,0.4451309
683.0,683.0,0.65595067
684.0,684.0,0.48998186
685.0,685.0,0.4885031
686.0,686.0,0.67897433
687.0,687.0,0.70822465
688.0,688.0,0.57371616
689.0,689.0,0.5014562
690.0,690.0,0.6713456
691.0,691.0,0.5424726
692.0,692.0,0.49667966
693.0,693.0,0.5493914
694.0,694.0,0.6768149
695.0,695.0,0.72890383
696.0,696.0,0.50303227
697.0,697.0,0.5452793
698.0,698.0,0.481917
699.0,699.0,0.48709118
700.0,700.0,0.5903556
701.0,701.0,0.7651456
702.0,702.0,0.7865148
703.0,703.0,0.7826715
